 Date, Team, Acquired, Relinquished, Notes
2006-11-21, Nuggets, , Earl Boykins, stomach virus (DNP)
2006-11-21, Rockets, , Kirk Snyder, surgery on right hand to repair broken bone
2006-11-22, Blazers, , • Brandon Roy, heel injury (DNP)
2006-11-22, Grizzlies, , • Kyle Lowry, broken left wrist (out indefinitely)
2006-11-22, Nets, , • Clifford Robinson (R.), sprained left knee (DNP)
2006-11-22, Nuggets, , Earl Boykins, flu (DNP)
2006-11-24, Lakers, • Ronny Turiaf, , returned to lineup
2006-11-24, Warriors, , • Baron Davis, strained right rib muscle (DNP)
2006-11-25, Blazers, , • Brandon Roy, heel injury (DNP)
2006-11-25, Knicks, , • Channing Frye, sprained left ankle (out 3-6 weeks)
2006-11-25, Warriors, , • Baron Davis, strained right rib muscle (DNP)
2006-11-25, Warriors, , Mickael Pietrus, flu (DNP)
2006-11-26, Blazers, , • Brandon Roy, heel injury (DNP)
2006-11-26, Nets, , • Clifford Robinson (R.), arthroscopic surgery on left knee
2006-11-27, Warriors, , • Baron Davis, strained right rib muscle (DNP)
2006-11-27, Warriors, , Mickael Pietrus, flu (DNP)
2006-11-28, Clippers, , Sam Cassell, sprained left ankle (DNP)
2006-11-28, Grizzlies, , • Iakovos Tsakalidis / Jake Tsakalidis, flu (DNP)
2006-11-28, Grizzlies, , Damon Stoudamire, sore right knee (DNP)
2006-11-28, Knicks, , • Quentin Richardson, strained left hamstring (DNP)
 Date, Team, Acquired, Relinquished, Notes
2006-11-29, Clippers, Sam Cassell, , returned to lineup
2006-11-29, Knicks, • Quentin Richardson, , returned to lineup
2006-12-01, 76ers, , • Shavlik Randolph, surgery on broken and disloacted left ankle (out 3-6 months)
2006-12-01, Hornets, , • Bobby Jackson, rib injury (DNP)
2006-12-01, Nuggets, , • Joe Smith, sprained right ankle (DNP)
2006-12-02, 76ers, , • Kyle Korver, sprained left ankle (DNP)
2006-12-02, Heat, , • Gary Payton, left ear infection (DNP)
